filename,section|field|value
form_4.pdf,section5|קופת חולים/לאומית|
form_5.pdf,header|אל קופ״ח/בי״ח|לוזית
form_5.pdf,header|תאריך מילוי הטופס|3  0  0  1  2  0  2  3
form_5.pdf,header|תאריך קבלת הטופס בקופה|1  4  0  4  2  0  2  3
form_5.pdf,section1|תאריך הפגיעה|2  8  1  1  2  0  2  3
form_5.pdf,section2|שם משפחה|עמר
form_5.pdf,section2|שם פרטי|אסתר
form_5.pdf,section2|ת.ז|8  0  6  7  9  3  1  9  7  4
form_5.pdf,section2|תאריך לידה|0 9 0 8 2 0 2 3
form_5.pdf,section2|רחוב|אבן מסעוד
form_5.pdf,section2|מס' בית|117
form_5.pdf,section2|כניסה|1
form_5.pdf,section2|דירה|14
form_5.pdf,section2|יישוב|בית חשמונאי
form_5.pdf,section2|מיקוד|421418
form_5.pdf,section2|טלפון קווי|0  5  4  3  0  6  0  7  3  5
form_5.pdf,section2|טלפון נייד|0  5  4  0  0  1  8  5  9  3
form_5.pdf,section3|בתאריך|05.09.2023
form_5.pdf,section3|בשעה|11:31
form_5.pdf,section3|כאשר עבדתי ב|נהיגה
form_5.pdf,section3|נסיבות הפגיעה / תיאור התאונה|איבוד שיווי משקל על רצפה רטובה בעת תפקיד.
form_5.pdf,section3|האיבר שנפגע|יד שמאל
form_5.pdf,section4|שם המבקש|מיריל דניאל
form_5.pdf,section4|חתימה|signed
form_5.pdf,section5|אבחנה רפואית 1|0  9  9  0
form_5.pdf,section5|אבחנה רפואית 2|2  0  8  8
form_5.pdf,section2|מין/זכר|
form_5.pdf,section2|מין/נקבה|V
form_5.pdf,section3|מקום התאונה/מפעל|
form_5.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_5.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_5.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_5.pdf,section3|מקום התאונה/אחר|
form_5.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_5.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_5.pdf,section5|קופת חולים/כללית|
form_5.pdf,section5|קופת חולים/מאוחדת|
form_5.pdf,section5|קופת חולים/מכבי|
form_5.pdf,section5|קופת חולים/לאומית|V
form_6.pdf,header|אל קופ״ח/בי״ח|לקיה
form_6.pdf,header|תאריך מילוי הטופס|2  2  0  2  2  0  2  3
form_6.pdf,header|תאריך קבלת הטופס בקופה|3  0  1  1  2  0  2  3
form_6.pdf,section1|תאריך הפגיעה|0  2  1  0  2  0  2  3
form_6.pdf,section2|שם משפחה|לוי
form_6.pdf,section2|שם פרטי|נויה
form_6.pdf,section2|ת.ז|4  1  8  1  3  1  5  8  8  5
form_6.pdf,section2|תאריך לידה|0 4 0 6 2 0 2 3
form_6.pdf,section2|רחוב|האילנות
form_6.pdf,section2|מס' בית|46
form_6.pdf,section2|כניסה|1
form_6.pdf,section2|דירה|9
form_6.pdf,section2|יישוב|כפר יונה
form_6.pdf,section2|מיקוד|336466
form_6.pdf,section2|טלפון קווי|0  5  4  6  7  2  9  0  1  8
form_6.pdf,section2|טלפון נייד|0  5  4  0  5  7  6  8  2  2
form_6.pdf,section3|בתאריך|19.03.2023
form_6.pdf,section3|בשעה|12:52
form_6.pdf,section3|כאשר עבדתי ב|מלצרות
form_6.pdf,section3|נסיבות הפגיעה / תיאור התאונה|החלקה על רצפה רטובה בעת ביצוע מטלה.
form_6.pdf,section3|האיבר שנפגע|גב
form_6.pdf,section4|שם המבקש|יסמין סגל
form_6.pdf,section4|חתימה|
form_6.pdf,section5|אבחנה רפואית 1|5  6  8  8
form_6.pdf,section5|אבחנה רפואית 2|0  8  9  2
form_6.pdf,section2|מין/זכר|
form_6.pdf,section2|מין/נקבה|V
form_6.pdf,section3|מקום התאונה/מפעל|
form_6.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_6.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_6.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_6.pdf,section3|מקום התאונה/אחר|V
form_6.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|
form_6.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|V
form_6.pdf,section5|קופת חולים/כללית|
form_6.pdf,section5|קופת חולים/מאוחדת|V
form_6.pdf,section5|קופת חולים/מכבי|
form_6.pdf,section5|קופת חולים/לאומית|
form_7.pdf,header|אל קופ״ח/בי״ח|צפרירים
form_7.pdf,header|תאריך מילוי הטופס|2  8  0  2  2  0  2  3
form_7.pdf,header|תאריך קבלת הטופס בקופה|1  6  0  6  2  0  2  3
form_7.pdf,section1|תאריך הפגיעה|0  6  0  4  2  0  2  3
form_7.pdf,section2|שם משפחה|אברגל
form_7.pdf,section2|שם פרטי|מוסא
form_7.pdf,section2|ת.ז|4  2  8  4  8  6  3  3  1  9
form_7.pdf,section2|תאריך לידה|3 0 0 5 2 0 2 3
form_7.pdf,section2|רחוב|מזל שור
form_7.pdf,section2|מס' בית|81
form_7.pdf,section2|כניסה|3
form_7.pdf,section2|דירה|19
form_7.pdf,section2|יישוב|לוזית
form_7.pdf,section2|מיקוד|945799
form_7.pdf,section2|טלפון קווי|0  5  4  4  8  0  4  2  4  5
form_7.pdf,section2|טלפון נייד|0  5  4  3  7  1  5  4  6  9
form_7.pdf,section3|בתאריך|16.05.2023
form_7.pdf,section3|בשעה|19:12
form_7.pdf,section3|כאשר עבדתי ב|משרד
form_7.pdf,section3|נסיבות הפגיעה / תיאור התאונה|מעידה על שביל רטוב במהלך העבודה.
form_7.pdf,section3|האיבר שנפגע|ראש
form_7.pdf,section4|שם המבקש|אחמד גאבר
form_7.pdf,section4|חתימה|signed
form_7.pdf,section5|אבחנה רפואית 1|0  8  1  3
form_7.pdf,section5|אבחנה רפואית 2|5  0  1  7
form_7.pdf,section2|מין/זכר|
form_7.pdf,section2|מין/נקבה|V
form_7.pdf,section3|מקום התאונה/מפעל|
form_7.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_7.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|V
form_7.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_7.pdf,section3|מקום התאונה/אחר|
form_7.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_7.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_7.pdf,section5|קופת חולים/כללית|V
form_7.pdf,section5|קופת חולים/מאוחדת|
form_7.pdf,section5|קופת חולים/מכבי|
form_7.pdf,section5|קופת חולים/לאומית|
form_8.pdf,header|אל קופ״ח/בי״ח|בית חנניה
form_8.pdf,header|תאריך מילוי הטופס|1  6  1  2  2  0  2  3
form_8.pdf,header|תאריך קבלת הטופס בקופה|0  5  0  3  2  0  2  3
form_8.pdf,section1|תאריך הפגיעה|0  2  0  4  2  0  2  3
form_8.pdf,section2|שם משפחה|כהן
form_8.pdf,section2|שם פרטי|טליה
form_8.pdf,section2|ת.ז|6  1  6  2  6  8  3  3  9  7
form_8.pdf,section2|תאריך לידה|3 1 0 8 2 0 2 3
form_8.pdf,section2|רחוב|בית היוצר
form_8.pdf,section2|מס' בית|35
form_8.pdf,section2|כניסה|1
form_8.pdf,section2|דירה|28
form_8.pdf,section2|יישוב|שדות מיכה
form_8.pdf,section2|מיקוד|447824
form_8.pdf,section2|טלפון קווי|0  5  4  2  7  0  1  3  7  0
form_8.pdf,section2|טלפון נייד|0  5  4  4  7  0  7  1  2  5
form_8.pdf,section3|בתאריך|01.08.2023
form_8.pdf,section3|בשעה|13:36
form_8.pdf,section3|כאשר עבדתי ב|מכירות
form_8.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על משטח חלק בעת ביצוע מטלה.
form_8.pdf,section3|האיבר שנפגע|רגל שמאל
form_8.pdf,section4|שם המבקש|מוחמד כהן
form_8.pdf,section4|חתימה|signed
form_8.pdf,section5|אבחנה רפואית 1|6  0  9  6
form_8.pdf,section5|אבחנה רפואית 2|6  0  1  5
form_8.pdf,section2|מין/זכר|V
form_8.pdf,section2|מין/נקבה|
form_8.pdf,section3|מקום התאונה/מפעל|
form_8.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_8.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_8.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|V
form_8.pdf,section3|מקום התאונה/אחר|
form_8.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_8.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_8.pdf,section5|קופת חולים/כללית|
form_8.pdf,section5|קופת חולים/מאוחדת|V
form_8.pdf,section5|קופת חולים/מכבי|
form_8.pdf,section5|קופת חולים/לאומית|
form_9.pdf,header|אל קופ״ח/בי״ח|עלי זהב
form_9.pdf,header|תאריך מילוי הטופס|3  0  0  6  2  0  2  3
form_9.pdf,header|תאריך קבלת הטופס בקופה|0  8  0  3  2  0  2  3
form_9.pdf,section1|תאריך הפגיעה|3  1  0  5  2  0  2  3
form_9.pdf,section2|שם משפחה|שפירא
form_9.pdf,section2|שם פרטי|אודיה
form_9.pdf,section2|ת.ז|8  3  2  9  3  6  1  6  8  6
form_9.pdf,section2|תאריך לידה|2 3 0 4 2 0 2 3
form_9.pdf,section2|רחוב|רקפת
form_9.pdf,section2|מס' בית|150
form_9.pdf,section2|כניסה|2
form_9.pdf,section2|דירה|5
form_9.pdf,section2|יישוב|אליקים
form_9.pdf,section2|מיקוד|183605
form_9.pdf,section2|טלפון קווי|0  5  4  5  6  0  4  0  3  0
form_9.pdf,section2|טלפון נייד|0  5  4  1  4  6  8  6  6  1
form_9.pdf,section3|בתאריך|24.02.2023
form_9.pdf,section3|בשעה|15:53
form_9.pdf,section3|כאשר עבדתי ב|מכירות
form_9.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על שביל רטוב במהלך העבודה.
form_9.pdf,section3|האיבר שנפגע|יד ימין
form_9.pdf,section4|שם המבקש|אמיתי תורגמן
form_9.pdf,section4|חתימה|
form_9.pdf,section5|אבחנה רפואית 1|1  8  9  1
form_9.pdf,section5|אבחנה רפואית 2|3  0  7  9
form_9.pdf,section2|מין/זכר|V
form_9.pdf,section2|מין/נקבה|
form_9.pdf,section3|מקום התאונה/מפעל|
form_9.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_9.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|V
form_9.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_9.pdf,section3|מקום התאונה/אחר|
form_9.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_9.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_9.pdf,section5|קופת חולים/כללית|
form_9.pdf,section5|קופת חולים/מאוחדת|V
form_9.pdf,section5|קופת חולים/מכבי|
form_9.pdf,section5|קופת חולים/לאומית|
form_10.pdf,header|אל קופ״ח/בי״ח|עצמון שגב
form_10.pdf,header|תאריך מילוי הטופס|1  0  0  4  2  0  2  3
form_10.pdf,header|תאריך קבלת הטופס בקופה|0  6  1  1  2  0  2  3
form_10.pdf,section1|תאריך הפגיעה|2  6  0  7  2  0  2  3
form_10.pdf,section2|שם משפחה|עמר
form_10.pdf,section2|שם פרטי|הלל
form_10.pdf,section2|ת.ז|8  6  1  0  2  8  3  8  3  1
form_10.pdf,section2|תאריך לידה|0 1 1 1 2 0 2 3
form_10.pdf,section2|רחוב|אל הודא סמ3
form_10.pdf,section2|מס' בית|54
form_10.pdf,section2|כניסה|2
form_10.pdf,section2|דירה|40
form_10.pdf,section2|יישוב|משמר העמק
form_10.pdf,section2|מיקוד|583305
form_10.pdf,section2|טלפון קווי|0  5  4  4  0  9  1  0  4  9
form_10.pdf,section2|טלפון נייד|0  5  4  4  7  2  1  1  5  1
form_10.pdf,section3|בתאריך|28.10.2023
form_10.pdf,section3|בשעה|16:39
form_10.pdf,section3|כאשר עבדתי ב|מכירות
form_10.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על שביל רטוב בעת ביצוע מטלה.
form_10.pdf,section3|האיבר שנפגע|ראש
form_10.pdf,section4|שם המבקש|אדל כהנא
form_10.pdf,section4|חתימה|signed
form_10.pdf,section5|אבחנה רפואית 1|0  0  1  4
form_10.pdf,section5|אבחנה רפואית 2|9  7  3  2
form_10.pdf,section2|מין/זכר|V
form_10.pdf,section2|מין/נקבה|
form_10.pdf,section3|מקום התאונה/מפעל|
form_10.pdf,section3|מקום התאונה/ת. דרכים בעבודה|
form_10.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_10.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|V
form_10.pdf,section3|מקום התאונה/אחר|
form_10.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_10.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_10.pdf,section5|קופת חולים/כללית|
form_10.pdf,section5|קופת חולים/מאוחדת|
form_10.pdf,section5|קופת חולים/מכבי|V
form_10.pdf,section5|קופת חולים/לאומית|
form_11.pdf,header|אל קופ״ח/בי״ח|גבעת השלושה
form_11.pdf,header|תאריך מילוי הטופס|3  0  0  9  2  0  2  3
form_11.pdf,header|תאריך קבלת הטופס בקופה|0  2  0  3  2  0  2  3
form_11.pdf,section1|תאריך הפגיעה|2  4  0  9  2  0  2  3
form_11.pdf,section2|שם משפחה|אשר
form_11.pdf,section2|שם פרטי|נועה
form_11.pdf,section2|ת.ז|6  7  7  2  3  2  8  7  5  7
form_11.pdf,section2|תאריך לידה|2 5 0 5 2 0 2 3
form_11.pdf,section2|רחוב|נאות הדקל
form_11.pdf,section2|מס' בית|77
form_11.pdf,section2|כניסה|2
form_11.pdf,section2|דירה|11
form_11.pdf,section2|יישוב|אביחיל
form_11.pdf,section2|מיקוד|337884
form_11.pdf,section2|טלפון קווי|0  5  4  6  6  8  2  6  7  3
form_11.pdf,section2|טלפון נייד|0  5  4  6  6  4  5  9  1  2
form_11.pdf,section3|בתאריך|12.06.2023
form_11.pdf,section3|בשעה|18:33
form_11.pdf,section3|כאשר עבדתי ב|נהיגה
form_11.pdf,section3|נסיבות הפגיעה / תיאור התאונה|איבוד שיווי משקל על רצפה רטובה בעת ביצוע מטלה.
form_11.pdf,section3|האיבר שנפגע|יד שמאל
form_11.pdf,section4|שם המבקש|רומי כהן
form_11.pdf,section4|חתימה|
form_11.pdf,section5|אבחנה רפואית 1|4  2  9  4
form_11.pdf,section5|אבחנה רפואית 2|6  2  8  1
form_11.pdf,section2|מין/זכר|
form_11.pdf,section2|מין/נקבה|V
form_11.pdf,section3|מקום התאונה/מפעל|
form_11.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_11.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_11.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_11.pdf,section3|מקום התאונה/אחר|
form_11.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|V
form_11.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|
form_11.pdf,section5|קופת חולים/כללית|
form_11.pdf,section5|קופת חולים/מאוחדת|
form_11.pdf,section5|קופת חולים/מכבי|V
form_11.pdf,section5|קופת חולים/לאומית|
form_12.pdf,header|אל קופ״ח/בי״ח|רחוב
form_12.pdf,header|תאריך מילוי הטופס|0  3  1  0  2  0  2  3
form_12.pdf,header|תאריך קבלת הטופס בקופה|1  6  1  0  2  0  2  3
form_12.pdf,section1|תאריך הפגיעה|2  0  1  2  2  0  2  3
form_12.pdf,section2|שם משפחה|רז
form_12.pdf,section2|שם פרטי|ג'נא
form_12.pdf,section2|ת.ז|0  0  2  3  5  5  1  8  1  0
form_12.pdf,section2|תאריך לידה|1 5 0 9 2 0 2 3
form_12.pdf,section2|רחוב|הופרט יעקב
form_12.pdf,section2|מס' בית|16
form_12.pdf,section2|כניסה|3
form_12.pdf,section2|דירה|23
form_12.pdf,section2|יישוב|מלאה
form_12.pdf,section2|מיקוד|871110
form_12.pdf,section2|טלפון קווי|0  5  4  6  5  4  5  2  0  3
form_12.pdf,section2|טלפון נייד|0  5  4  6  4  3  0  5  7  0
form_12.pdf,section3|בתאריך|21.07.2023
form_12.pdf,section3|בשעה|11:33
form_12.pdf,section3|כאשר עבדתי ב|משרד
form_12.pdf,section3|נסיבות הפגיעה / תיאור התאונה|נפילה על משטח חלק במהלך העבודה.
form_12.pdf,section3|האיבר שנפגע|יד שמאל
form_12.pdf,section4|שם המבקש|ישי גנאים
form_12.pdf,section4|חתימה|
form_12.pdf,section5|אבחנה רפואית 1|9  5  1  9
form_12.pdf,section5|אבחנה רפואית 2|7  7  1  7
form_12.pdf,section2|מין/זכר|
form_12.pdf,section2|מין/נקבה|V
form_12.pdf,section3|מקום התאונה/מפעל|
form_12.pdf,section3|מקום התאונה/ת. דרכים בעבודה|V
form_12.pdf,section3|מקום התאונה/ת. דרכים בדרך לעבודה/מהעבודה|
form_12.pdf,section3|מקום התאונה/תאונה בדרך לא רכב|
form_12.pdf,section3|מקום התאונה/אחר|
form_12.pdf,section5|סטטוס חברות בקופת חולים/הנפגע חבר בקופת חולים|
form_12.pdf,section5|סטטוס חברות בקופת חולים/הנפגע אינו חבר בקופת חולים|V
form_12.pdf,section5|קופת חולים/כללית|V
form_12.pdf,section5|קופת חולים/מאוחדת|
form_12.pdf,section5|קופת חולים/מכבי|
form_12.pdf,section5|קופת חולים/לאומית|
form_13.pdf,header|אל קופ״ח/בי״ח|עלי זהב
form_13.pdf,header|תאריך מילוי הטופס|0  8  0  9  2  0  2  3
form_13.pdf,header|תאריך קבלת הטופס בקופה|1  1  0  2  2  0  2  3
form_13.pdf,section1|תאריך הפגיעה|0  8  0  8  2  0  2  3
form_13.pdf,section2|שם משפחה|עבאס
form_13.pdf,section2|שם פרטי|מאיה
form_13.pdf,section2|ת.ז|9  3  0  1  8  1  0  8  1  2
form_13.pdf,section2|תאריך לידה|1 3 0 8 2 0 2 3
form_13.pdf,section2|רחוב|אזור בית הקברות
form_13.pdf,section2|מס' בית|43
form_13.pdf,section2|כניסה|4
form_13.pdf,section2|דירה|12
form_13.pdf,section2|יישוב|עמיר
form_13.pdf,section2|מיקוד|138502
form_13.pdf,section2|טלפון קווי|0  5  4  8  6  8  0  1  3  8
form_13.pdf,section2|טלפון נייד|0  5  4  0  2  7  8  2  2  1
form_13.pdf,section3|בתאריך|26.08.2023
form_13.pdf,section3|בשעה|14:12
